species	interaction_name	interaction_name_2	ligand	receptor	pathway_name	annotation	version
human	12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R1	12oxoLTB4-PTGR1 - LTB4R	12oxoLTB4-PTGR1	LTB4R	12oxoLTB4	Non-protein Signaling	CellChatDB v2
human	12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R2	12oxoLTB4-PTGR1 - LTB4R2	12oxoLTB4-PTGR1	LTB4R2	12oxoLTB5	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_CNR1	2AG-DAGLA - CNR1	2AG-DAGLA	CNR1	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_CNR2	2AG-DAGLA - CNR2	2AG-DAGLA	CNR2	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_GPR55	2AG-DAGLA - GPR55	2AG-DAGLA	GPR55	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_CNR1	2AG-DAGLB - CNR1	2AG-DAGLB	CNR1	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_CNR2	2AG-DAGLB - CNR2	2AG-DAGLB	CNR2	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_GPR55	2AG-DAGLB - GPR55	2AG-DAGLB	GPR55	2-AG	Non-protein Signaling	CellChatDB v2
human	27Hydroxycholesterol-27HC-CYP11A1_NR1H4	22HC-CYP11A1 - NR1H4	22HC-CYP11A1	NR1H4	27HC	Non-protein Signaling	CellChatDB v2
human	27Hydroxycholesterol-27HC-CYP3A4_NR1H4	22HC-CYP3A4 - NR1H4	22HC-CYP3A4	NR1H4	27HC	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1A	5-HT-(TPH1+SLC18A1) - HTR1A	5-HT-TPH1_SLC18A1	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1B	5-HT-(TPH1+SLC18A1) - HTR1B	5-HT-TPH1_SLC18A1	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1D	5-HT-(TPH1+SLC18A1) - HTR1D	5-HT-TPH1_SLC18A1	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1E	5-HT-(TPH1+SLC18A1) - P28566	5-HT-TPH1_SLC18A1	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1F	5-HT-(TPH1+SLC18A1) - HTR1F	5-HT-TPH1_SLC18A1	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2A	5-HT-(TPH1+SLC18A1) - HTR2A	5-HT-TPH1_SLC18A1	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2B	5-HT-(TPH1+SLC18A1) - HTR2B	5-HT-TPH1_SLC18A1	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2C	5-HT-(TPH1+SLC18A1) - HTR2C	5-HT-TPH1_SLC18A1	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR3_COMPLEX	5-HT-(TPH1+SLC18A1) - HTR3	5-HT-TPH1_SLC18A1	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR4	5-HT-(TPH1+SLC18A1) - HTR4	5-HT-TPH1_SLC18A1	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR5A	5-HT-(TPH1+SLC18A1) - HTR5A	5-HT-TPH1_SLC18A1	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR6	5-HT-(TPH1+SLC18A1) - HTR6	5-HT-TPH1_SLC18A1	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR7	5-HT-(TPH1+SLC18A1) - HTR7	5-HT-TPH1_SLC18A1	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1A	5-HT-(TPH1+SLC18A2) - HTR1A	5-HT-TPH1_SLC18A2	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1B	5-HT-(TPH1+SLC18A2) - HTR1B	5-HT-TPH1_SLC18A2	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1D	5-HT-(TPH1+SLC18A2) - HTR1D	5-HT-TPH1_SLC18A2	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1E	5-HT-(TPH1+SLC18A2) - P28566	5-HT-TPH1_SLC18A2	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1F	5-HT-(TPH1+SLC18A2) - HTR1F	5-HT-TPH1_SLC18A2	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2A	5-HT-(TPH1+SLC18A2) - HTR2A	5-HT-TPH1_SLC18A2	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2B	5-HT-(TPH1+SLC18A2) - HTR2B	5-HT-TPH1_SLC18A2	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2C	5-HT-(TPH1+SLC18A2) - HTR2C	5-HT-TPH1_SLC18A2	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR3_COMPLEX	5-HT-(TPH1+SLC18A2) - HTR3	5-HT-TPH1_SLC18A2	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR4	5-HT-(TPH1+SLC18A2) - HTR4	5-HT-TPH1_SLC18A2	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR5A	5-HT-(TPH1+SLC18A2) - HTR5A	5-HT-TPH1_SLC18A2	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR6	5-HT-(TPH1+SLC18A2) - HTR6	5-HT-TPH1_SLC18A2	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR7	5-HT-(TPH1+SLC18A2) - HTR7	5-HT-TPH1_SLC18A2	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
